paper_title,"Better Arabic Parsing: Baselines, Evaluations, and Analysis"
0.834 	336,We showed in §2 that lexical ambiguity explains the underperformance of these categories.
0.834 	336,"(b) POS tagging accuracy is lowest for maSdar verbal nouns (VBG,VN) and adjectives (e.g., JJ)."
0.834 	336,"Richer tag sets have been suggested for modeling morphologically complex distinctions (Diab, 2007), but we find that linguistically rich tag sets do not help parsing."
0.834 	336,"(c) Coordination ambiguity is shown in dependency scores by e.g., ∗SSS R) and ∗NP NP NP R)."
0.834 	336,∗NP NP PP R) and ∗NP NP ADJP R) are both iDafa attachment.
0.834 	336,"input token, the segmentation is then performed deterministically given the 1-best analysis."
0.834 	336,"Since guess and gold trees may now have different yields, the question of evaluation is complex."
0.834 	336,"Cohen and Smith (2007) chose a metric like SParseval (Roark et al., 2006) that first aligns the trees and then penalizes segmentation errors with an edit-distance metric."
0.834 	336,"But we follow the more direct adaptation of Evalb suggested by Tsarfaty (2006), who viewed exact segmentation as the ultimate goal."
0.834 	336,"Therefore, we only score guess/gold pairs with identical character yields, a condition that allows us to measure parsing, tagging, and segmentation accuracy by ignoring whitespace."
0.834 	336,"Table 9 shows that MADA produces a high quality segmentation, and that the effect of cascading segmentation errors on parsing is only 1.92% F1."
0.834 	336,"However, MADA is language-specific and relies on manually constructed dictionaries."
0.834 	336,"Conversely, the lattice parser requires no linguistic resources and produces segmentations of comparable quality."
0.834 	336,"Nonetheless, parse quality is much lower in the joint model because a lattice is effectively a long sentence."
0.834 	336,A cell in the bottom row of the parse chart is required for each potential whitespace boundary.
0.834 	336,"As we have said, parse quality decreases with sentence length."
0.834 	336,"Finally, we note that simple weighting gives nearly a 2% F1 improvement, whereas Goldberg and Tsarfaty (2008) found that unweighted lattices were more effective for Hebrew."
0.834 	336,Table 9: Dev set results for sentences of length ≤ 70.
0.834 	336,Coverage indicates the fraction of hypotheses in which the character yield exactly matched the reference.
0.834 	336,Each model was able to produce hypotheses for all input sentences.
0.834 	336,"In these experiments, the input lacks segmentation markers, hence the slightly different dev set baseline than in Table 6."
Conclusion.,"By establishing significantly higher parsing baselines, we have shown that Arabic parsing performance is not as poor as previously thought, but remains much lower than English."
Conclusion.,"We have described grammar state splits that significantly improve parsing performance, catalogued parsing errors, and quantified the effect of segmentation errors."
Conclusion.,With a human evaluation we also showed that ATB inter-annotator agreement remains low relative to the WSJ corpus.
Conclusion.,Our results suggest that current parsing models would benefit from better annotation consistency and enriched annotation in certain syntactic configurations.
Conclusion.,"Acknowledgments We thank Steven Bethard, Evan Rosen, and Karen Shiells for material contributions to this work."
Conclusion.,"We are also grateful to Markus Dickinson, Ali Farghaly, Nizar Habash, Seth Kulick, David McCloskey, Claude Reichard, Ryan Roth, and Reut Tsarfaty for constructive discussions."
Conclusion.,The first author is supported by a National Defense Science and Engineering Graduate (NDSEG) fellowship.
Conclusion.,This paper is based on work supported in part by DARPA through IBM.
Conclusion.,"The content does not necessarily reflect the views of the U.S. Government, and no official endorsement should be inferred."
